Location,Court,Size,Floor,A_S,Price_per_size
21,6,500,1,1,12263
21,6,600,1,1,10608
21,6,600,1,1,12415
21,47,600,2,1,10952
21,47,700,2,1,10617
9,8,600,3,1,7808
9,8,700,2,1,8044
9,73,500,3,1,7714
9,73,500,2,1,7428
9,73,600,1,1,6597
9,73,600,3,1,8234
9,151,400,3,1,5473
9,155,600,3,1,7419
9,155,600,1,2,6723
9,158,500,2,1,7691
9,158,500,2,1,7766
9,158,600,1,1,6278
9,158,700,1,1,7258
30,18,400,2,2,7615
30,18,500,2,2,7989
31,129,500,2,1,5194
31,129,500,2,1,5615
31,136,600,2,2,3391
31,136,600,1,1,5923
33,23,500,2,1,10075
33,24,500,3,1,6133
33,24,500,3,1,6446
33,27,400,1,1,6167
33,119,400,2,1,5490
33,119,500,3,1,6539
33,162,700,1,1,7522
36,123,700,1,1,6252
36,123,700,3,1,6614
36,123,700,3,1,6922
36,123,700,3,1,7211
36,123,700,2,1,7383
36,124,600,3,1,6879
36,124,700,1,1,6152
36,124,700,2,1,6229
36,124,700,2,1,7229
36,130,700,2,1,8044
36,130,700,3,1,8427
36,132,600,1,1,5864
46,33,700,2,1,8594
41,35,500,2,1,8630
41,35,600,1,1,7652
41,88,500,1,1,5028
41,88,500,1,1,5141
41,92,500,2,1,8588
41,92,600,2,1,8530
41,111,600,3,1,7757
41,113,500,2,1,3157
41,114,600,3,1,8298
41,125,400,1,2,4786
41,125,500,1,1,4668
14,100,700,2,1,10767
14,163,700,2,1,10035
39,9,500,2,1,6654
39,10,500,1,1,6077
39,112,500,3,1,9708
39,134,600,1,1,6659
20,41,500,2,1,6057
20,62,500,3,1,10594
20,62,600,1,1,8693
20,62,700,1,1,8025
20,62,700,1,1,10930
20,62,700,1,1,10050
20,63,600,2,1,7847
20,63,600,1,1,9200
26,166,600,1,1,10047
26,166,700,3,1,10951
26,166,700,1,1,11228
26,166,700,2,1,11055
26,169,600,3,1,8006
28,42,400,2,1,6430
28,42,400,3,1,7873
28,108,400,1,1,5859
28,108,400,2,1,7164
38,2,600,1,1,10999
38,2,600,2,1,11528
38,3,500,2,1,10116
38,3,600,1,1,9713
38,17,700,3,1,10536
38,21,500,1,1,9963
38,21,600,3,2,7757
38,69,500,2,1,6652
38,81,600,3,1,8752
38,81,600,3,1,9004
